nsel,atrain,atest,ftrain,ftest,nenhanced,nin,nout
15,0.8020833333333334,0.7447916666666666,0.762962962962963,0.692779936648924,11,33,2
16,0.8020833333333334,0.7604166666666666,0.761747705972635,0.7100840336134454,11,33,2
17,0.7994791666666666,0.7604166666666666,0.7592319656045665,0.7100840336134454,12,33,2
18,0.7994791666666666,0.7447916666666666,0.7579864947820749,0.6958784548246323,13,33,2
19,0.7942708333333334,0.7239583333333334,0.7517004297114794,0.671052206238888,14,33,2
20,0.7942708333333334,0.71875,0.7517004297114794,0.6631578947368422,15,33,2
21,0.7890625,0.7291666666666666,0.7480049582357755,0.6848484848484848,16,33,2
22,0.7890625,0.7291666666666666,0.7480049582357755,0.6848484848484848,17,33,2
23,0.796875,0.734375,0.7567251461988305,0.686545664073754,17,33,2
24,0.7994791666666666,0.734375,0.7592319656045665,0.686545664073754,18,33,2
25,0.7994791666666666,0.734375,0.7592319656045665,0.686545664073754,19,33,2
26,0.8020833333333334,0.734375,0.762962962962963,0.686545664073754,20,33,2
27,0.8046875,0.765625,0.7642725598526703,0.7207047034103766,21,33,2
28,0.8046875,0.7604166666666666,0.7654856807836687,0.7159032424086464,22,33,2
29,0.8046875,0.7447916666666666,0.7642725598526703,0.6958784548246323,22,33,2
30,0.7994791666666666,0.7395833333333334,0.7579864947820749,0.6911991765311374,23,33,2
31,0.7994791666666666,0.7395833333333334,0.7579864947820749,0.6911991765311374,23,33,2
32,0.8020833333333334,0.7395833333333334,0.761747705972635,0.6911991765311374,24,33,2
33,0.8020833333333334,0.734375,0.761747705972635,0.6834653305317602,25,33,2
1,0.7005208333333334,0.6979166666666666,0.6220181287500749,0.634453781512605,1,33,2
2,0.7526041666666666,0.7552083333333334,0.699839552392315,0.7082915791175044,1,33,2
3,0.7552083333333334,0.7760416666666666,0.7005972130059721,0.7303987199164027,2,33,2
4,0.7734375,0.7708333333333334,0.730682725096133,0.7255360623781677,3,33,2
5,0.7734375,0.7552083333333334,0.7293386588458328,0.7082915791175044,4,33,2
6,0.7760416666666666,0.765625,0.7369695425003187,0.7207047034103766,4,33,2
7,0.78125,0.78125,0.7418611351195621,0.7380116959064327,5,33,2
8,0.78125,0.78125,0.7418611351195621,0.7380116959064327,6,33,2
9,0.78125,0.78125,0.7418611351195621,0.7380116959064327,7,33,2
10,0.7786458333333334,0.7604166666666666,0.7342171048881578,0.7069674850696748,8,33,2
11,0.78125,0.765625,0.7366685171276491,0.7148797148797149,9,33,2
12,0.7786458333333334,0.765625,0.7342171048881578,0.7148797148797149,9,33,2
13,0.7786458333333334,0.7708333333333334,0.7355607586424804,0.7197080291970803,10,33,2
14,0.7760416666666666,0.7604166666666666,0.7369695425003187,0.7100840336134454,11,33,2
15,0.7786458333333334,0.75,0.7394116003353159,0.6974789915966386,12,33,2
16,0.7760416666666666,0.75,0.7357149716700279,0.6942269409422694,13,33,2
17,0.7760416666666666,0.765625,0.7357149716700279,0.7178591254939098,13,33,2
18,0.7864583333333334,0.78125,0.7480072985690963,0.7406073082861555,14,33,2
19,0.78125,0.7760416666666666,0.7418611351195621,0.7331178277032488,15,33,2
20,0.7838541666666666,0.7760416666666666,0.7455430920921321,0.7357149716700279,16,33,2
21,0.7734375,0.7708333333333334,0.7332801085784999,0.728255275347401,16,33,2
22,0.7708333333333334,0.7708333333333334,0.7308525551166051,0.728255275347401,16,33,2
23,0.7942708333333334,0.765625,0.7554475319838448,0.7207047034103766,16,33,2
24,0.8020833333333334,0.7604166666666666,0.7641506384354291,0.7130604288499025,17,33,2
25,0.8020833333333334,0.7760416666666666,0.761747705972635,0.7303987199164027,18,33,2
26,0.7994791666666666,0.7760416666666666,0.7592319656045665,0.7275517275517276,18,33,2
27,0.8020833333333334,0.78125,0.761747705972635,0.7352941176470589,19,33,2
28,0.8072916666666666,0.75,0.7680175031838814,0.7035512094698919,20,33,2
29,0.8072916666666666,0.75,0.7680175031838814,0.7035512094698919,21,33,2
30,0.8072916666666666,0.75,0.7680175031838814,0.7035512094698919,22,33,2
31,0.8098958333333334,0.75,0.7705586249232659,0.7035512094698919,23,33,2
32,0.8125,0.7395833333333334,0.7719037719037719,0.6911991765311374,24,33,2
33,0.8125,0.7395833333333334,0.7719037719037719,0.6911991765311374,25,33,2
1,0.703125,0.671875,0.6013840830449827,0.5712918660287081,1,33,2
2,0.75,0.734375,0.6835164835164835,0.6657450076804916,1,33,2
3,0.78125,0.75,0.7366685171276491,0.6942269409422694,1,33,2
4,0.7786458333333334,0.7604166666666666,0.732842234499693,0.7100840336134454,2,33,2
5,0.7838541666666666,0.75,0.7443183185592235,0.7005847953216374,3,33,2
6,0.7760416666666666,0.75,0.7303987199164027,0.7005847953216374,3,33,2
7,0.7864583333333334,0.7552083333333334,0.7388188453881885,0.7053195310714169,4,33,2
8,0.7916666666666666,0.7708333333333334,0.7451891174518912,0.7197080291970803,5,33,2
9,0.7864583333333334,0.78125,0.7402237402237402,0.7294685990338164,6,33,2
10,0.7838541666666666,0.7864583333333334,0.7363488216268085,0.7373811509591326,6,33,2
11,0.7838541666666666,0.7604166666666666,0.7363488216268085,0.7069674850696748,7,33,2
12,0.7890625,0.765625,0.7412980013474062,0.7148797148797149,8,33,2
13,0.7916666666666666,0.765625,0.7465597465597466,0.7148797148797149,9,33,2
14,0.7916666666666666,0.7447916666666666,0.7465597465597466,0.6895356895356894,10,33,2
15,0.7890625,0.7604166666666666,0.7412980013474062,0.7069674850696748,11,33,2
16,0.7890625,0.75,0.742701862069536,0.6974789915966386,11,33,2
17,0.7890625,0.7604166666666666,0.7440737236187107,0.7037037037037037,12,33,2
18,0.7916666666666666,0.7604166666666666,0.7478991596638656,0.7100840336134454,12,33,2
19,0.7916666666666666,0.7552083333333334,0.7504873294346979,0.7022077022077022,13,33,2
20,0.7916666666666666,0.7708333333333334,0.7492081115501421,0.7255360623781677,14,33,2
21,0.7890625,0.765625,0.745414364640884,0.7207047034103766,15,33,2
22,0.8020833333333334,0.765625,0.761747705972635,0.7207047034103766,16,33,2
23,0.8020833333333334,0.7604166666666666,0.761747705972635,0.7159032424086464,17,33,2
24,0.8020833333333334,0.75,0.761747705972635,0.7005847953216374,18,33,2
25,0.796875,0.75,0.7554779087613885,0.7035512094698919,19,33,2
26,0.7942708333333334,0.75,0.7529782504254643,0.7035512094698919,20,33,2
27,0.7942708333333334,0.75,0.7529782504254643,0.7035512094698919,21,33,2
28,0.796875,0.7552083333333334,0.7554779087613885,0.7111303178718908,22,33,2
29,0.8046875,0.7552083333333334,0.7642725598526703,0.7082915791175044,22,33,2
30,0.8046875,0.7604166666666666,0.7642725598526703,0.7159032424086464,23,33,2
31,0.7994791666666666,0.7447916666666666,0.7592319656045665,0.6988379909728224,24,33,2
32,0.8072916666666666,0.7604166666666666,0.7692007797270954,0.718618580349178,24,33,2
33,0.8046875,0.75,0.766671257625718,0.7035512094698919,25,33,2
1,0.6875,0.6197916666666666,0.5306197286395307,0.45756414721931965,1,33,2
2,0.7135416666666666,0.6666666666666666,0.6257309941520468,0.5923025879230258,2,33,2
3,0.7135416666666666,0.6614583333333334,0.6257309941520468,0.5881595881595881,3,33,2
4,0.7630208333333334,0.7604166666666666,0.7026725773652012,0.7100840336134454,3,33,2
5,0.7786458333333334,0.765625,0.7314353889825976,0.7117597998331944,3,33,2
6,0.7864583333333334,0.765625,0.7402237402237402,0.7084921893451196,4,33,2
7,0.78125,0.7604166666666666,0.7366685171276491,0.7130604288499025,5,33,2
8,0.78125,0.765625,0.7366685171276491,0.7178591254939098,6,33,2
9,0.7682291666666666,0.75,0.7187970543464846,0.7005847953216374,6,33,2
10,0.7786458333333334,0.7447916666666666,0.7314353889825976,0.692779936648924,7,33,2
11,0.7786458333333334,0.7447916666666666,0.7314353889825976,0.6958784548246323,8,33,2
12,0.7838541666666666,0.7447916666666666,0.741782858439128,0.6988379909728224,9,33,2
13,0.796875,0.7395833333333334,0.7591353576942872,0.6911991765311374,10,33,2
14,0.8125,0.7395833333333334,0.7787381158167674,0.6881091617933723,11,33,2
15,0.8125,0.7395833333333334,0.7787381158167674,0.6881091617933723,11,33,2
16,0.8046875,0.75,0.7689623360474911,0.7035512094698919,11,33,2
17,0.8098958333333334,0.7604166666666666,0.7728933574223655,0.7069674850696748,12,33,2
18,0.8072916666666666,0.7604166666666666,0.7714873906330417,0.7100840336134454,13,33,2
19,0.8072916666666666,0.75,0.7668067226890756,0.6974789915966386,14,33,2
20,0.8125,0.7552083333333334,0.7742873003951278,0.6989491242702253,15,33,2
21,0.8151041666666666,0.765625,0.7791154572190131,0.7178591254939098,16,33,2
22,0.8125,0.765625,0.775438596491228,0.7148797148797149,17,33,2
23,0.8072916666666666,0.765625,0.7703572005818652,0.7178591254939098,18,33,2
24,0.8046875,0.75,0.7654856807836687,0.7005847953216374,18,33,2
25,0.8046875,0.7552083333333334,0.766671257625718,0.7053195310714169,18,33,2
26,0.8125,0.734375,0.7765637627283013,0.6733277731442869,19,33,2
27,0.8098958333333334,0.7291666666666666,0.7728933574223655,0.6650563607085347,20,33,2
28,0.8125,0.7239583333333334,0.7765637627283013,0.6605170975813177,21,33,2
29,0.8125,0.7395833333333334,0.775438596491228,0.6814863968148639,21,33,2
30,0.8125,0.734375,0.7742873003951278,0.6733277731442869,22,33,2
31,0.8151041666666666,0.7395833333333334,0.777993111141873,0.6814863968148639,23,33,2
32,0.8072916666666666,0.7447916666666666,0.7692007797270954,0.686138448707256,24,33,2
33,0.8151041666666666,0.7604166666666666,0.777993111141873,0.7100840336134454,25,33,2
1,0.7057291666666666,0.671875,0.6263401276189,0.5870967741935484,1,33,2
2,0.7291666666666666,0.6927083333333334,0.6591909882232463,0.6086100266040148,1,33,2
3,0.7395833333333334,0.71875,0.6865101394376776,0.656005308560053,2,33,2
4,0.7890625,0.7395833333333334,0.745414364640884,0.6742228858422696,3,33,2
5,0.765625,0.7291666666666666,0.7163865546218487,0.6650563607085347,4,33,2
6,0.7760416666666666,0.7552083333333334,0.7303987199164027,0.7082915791175044,4,33,2
7,0.7786458333333334,0.7604166666666666,0.732842234499693,0.7130604288499025,5,33,2
8,0.7838541666666666,0.7604166666666666,0.7404708200672601,0.7159032424086464,6,33,2
9,0.7916666666666666,0.734375,0.751737514142557,0.6733277731442869,7,33,2
10,0.7838541666666666,0.7447916666666666,0.741782858439128,0.6895356895356894,8,33,2
11,0.7864583333333334,0.7447916666666666,0.7492035172677456,0.686138448707256,9,33,2
12,0.7838541666666666,0.7447916666666666,0.7443183185592235,0.686138448707256,9,33,2
13,0.7890625,0.7552083333333334,0.7516745838489481,0.7022077022077022,10,33,2
14,0.796875,0.7447916666666666,0.7614374920351727,0.692779936648924,10,33,2
15,0.7916666666666666,0.7447916666666666,0.7553205046514592,0.692779936648924,10,33,2
16,0.7838541666666666,0.7552083333333334,0.7443183185592235,0.7082915791175044,11,33,2
17,0.78125,0.7604166666666666,0.7430865298840321,0.7100840336134454,11,33,2
18,0.7916666666666666,0.7552083333333334,0.7575757575757576,0.7053195310714169,11,33,2
19,0.7942708333333334,0.7395833333333334,0.7578060756057643,0.6911991765311374,12,33,2
20,0.8072916666666666,0.7395833333333334,0.7714873906330417,0.6911991765311374,13,33,2
21,0.7994791666666666,0.7395833333333334,0.7628013316754242,0.6911991765311374,14,33,2
22,0.8046875,0.7395833333333334,0.7678299354277007,0.696969696969697,15,33,2
23,0.8020833333333334,0.75,0.7653113741636645,0.7090909090909091,16,33,2
24,0.8020833333333334,0.7552083333333334,0.7641506384354291,0.7164315117996418,17,33,2
25,0.796875,0.7552083333333334,0.7579440762889931,0.7164315117996418,17,33,2
26,0.796875,0.7552083333333334,0.7579440762889931,0.7164315117996418,18,33,2
27,0.796875,0.7447916666666666,0.7602996254681648,0.7016648168701443,19,33,2
28,0.796875,0.75,0.7579440762889931,0.7090909090909091,20,33,2
29,0.8020833333333334,0.75,0.7675544794188862,0.7090909090909091,21,33,2
30,0.8020833333333334,0.75,0.7675544794188862,0.706384605581751,22,33,2
31,0.8020833333333334,0.75,0.7675544794188862,0.7035512094698919,23,33,2
32,0.8020833333333334,0.7604166666666666,0.7686380212462344,0.718618580349178,24,33,2
33,0.7994791666666666,0.7604166666666666,0.7661333059138977,0.718618580349178,25,33,2
1,0.6666666666666666,0.6770833333333334,0.5673239436619718,0.6050431320504314,1,33,2
2,0.7421875,0.7447916666666666,0.6838086683134965,0.692779936648924,1,33,2
3,0.7552083333333334,0.765625,0.7082915791175044,0.7178591254939098,2,33,2
4,0.7760416666666666,0.7552083333333334,0.7303987199164027,0.7053195310714169,2,33,2
5,0.7786458333333334,0.7552083333333334,0.729995781184081,0.7022077022077022,2,33,2
6,0.7734375,0.7604166666666666,0.730682725096133,0.7069674850696748,3,33,2
7,0.7734375,0.7604166666666666,0.730682725096133,0.7069674850696748,4,33,2
8,0.7786458333333334,0.7395833333333334,0.7342171048881578,0.6881091617933723,4,33,2
9,0.7708333333333334,0.7395833333333334,0.728255275347401,0.6911991765311374,5,33,2
10,0.7760416666666666,0.7447916666666666,0.7317738791423003,0.6988379909728224,6,33,2
11,0.7786458333333334,0.75,0.7342171048881578,0.7035512094698919,7,33,2
12,0.7942708333333334,0.7239583333333334,0.7529782504254643,0.6641916641916642,7,33,2
13,0.7890625,0.71875,0.7480049582357755,0.656005308560053,8,33,2
14,0.7838541666666666,0.7239583333333334,0.7443183185592235,0.6605170975813177,9,33,2
15,0.7838541666666666,0.7239583333333334,0.7443183185592235,0.6605170975813177,10,33,2
16,0.7838541666666666,0.7291666666666666,0.7443183185592235,0.6687458526874586,11,33,2
17,0.7786458333333334,0.7395833333333334,0.7381573141871565,0.6814863968148639,12,33,2
18,0.7890625,0.75,0.7504793229312903,0.6974789915966386,13,33,2
19,0.7786458333333334,0.75,0.7381573141871565,0.6942269409422694,13,33,2
20,0.7786458333333334,0.7395833333333334,0.7381573141871565,0.677938808373591,14,33,2
21,0.7786458333333334,0.7395833333333334,0.7381573141871565,0.677938808373591,15,33,2
22,0.7838541666666666,0.765625,0.7443183185592235,0.7178591254939098,16,33,2
23,0.7890625,0.765625,0.7504793229312903,0.7178591254939098,17,33,2
24,0.7864583333333334,0.7604166666666666,0.7467833247555327,0.7100840336134454,18,33,2
25,0.7864583333333334,0.7552083333333334,0.7480072985690963,0.7053195310714169,19,33,2
26,0.7890625,0.75,0.7492563302619168,0.6942269409422694,20,33,2
27,0.7916666666666666,0.75,0.7529593412249099,0.6942269409422694,21,33,2
28,0.7916666666666666,0.7552083333333334,0.7504873294346979,0.7022077022077022,22,33,2
29,0.8046875,0.75,0.7642725598526703,0.6908212560386473,23,33,2
30,0.8046875,0.75,0.7642725598526703,0.6908212560386473,24,33,2
31,0.8020833333333334,0.75,0.761747705972635,0.6908212560386473,24,33,2
32,0.796875,0.734375,0.7554779087613885,0.6733277731442869,24,33,2
33,0.796875,0.7291666666666666,0.7567251461988305,0.6611918012759603,25,33,2
1,0.7395833333333334,0.7552083333333334,0.6703296703296704,0.6882147669557406,0,33,2
2,0.7421875,0.7708333333333334,0.674606910837021,0.7133161395411972,1,33,2
3,0.75,0.7239583333333334,0.6942269409422694,0.6605170975813177,2,33,2
4,0.7552083333333334,0.734375,0.7053195310714169,0.6834653305317602,3,33,2
5,0.7682291666666666,0.7447916666666666,0.7202701043585021,0.6895356895356894,3,33,2
6,0.7786458333333334,0.765625,0.732842234499693,0.7234226447709594,3,33,2
7,0.7734375,0.734375,0.7236427407413535,0.6834653305317602,4,33,2
8,0.7786458333333334,0.7395833333333334,0.7285225940065374,0.6848739495798319,5,33,2
9,0.7890625,0.7552083333333334,0.7440737236187107,0.7082915791175044,6,33,2
10,0.7942708333333334,0.7552083333333334,0.7503928909367672,0.7111303178718908,7,33,2
11,0.7942708333333334,0.75,0.7503928909367672,0.7035512094698919,8,33,2
12,0.7890625,0.75,0.7440737236187107,0.7035512094698919,9,33,2
13,0.7838541666666666,0.7447916666666666,0.7404708200672601,0.6988379909728224,10,33,2
14,0.7916666666666666,0.7604166666666666,0.7504873294346979,0.7130604288499025,11,33,2
15,0.7864583333333334,0.765625,0.7429383143388957,0.7234226447709594,11,33,2
16,0.7916666666666666,0.765625,0.7504873294346979,0.7234226447709594,12,33,2
17,0.8020833333333334,0.765625,0.762962962962963,0.7234226447709594,13,33,2
18,0.8020833333333334,0.7604166666666666,0.762962962962963,0.7130604288499025,14,33,2
19,0.8020833333333334,0.7604166666666666,0.762962962962963,0.7130604288499025,15,33,2
20,0.8046875,0.7604166666666666,0.766671257625718,0.7130604288499025,15,33,2
21,0.7994791666666666,0.7447916666666666,0.7579864947820749,0.6988379909728224,16,33,2
22,0.8020833333333334,0.7447916666666666,0.761747705972635,0.6988379909728224,17,33,2
23,0.8020833333333334,0.7552083333333334,0.761747705972635,0.7082915791175044,18,33,2
24,0.8020833333333334,0.7604166666666666,0.761747705972635,0.7130604288499025,19,33,2
25,0.796875,0.765625,0.7542016806722689,0.7207047034103766,19,33,2
26,0.7942708333333334,0.7604166666666666,0.754227058032423,0.7130604288499025,20,33,2
27,0.7890625,0.7604166666666666,0.7492563302619168,0.7130604288499025,21,33,2
28,0.7942708333333334,0.7604166666666666,0.7529782504254643,0.7130604288499025,22,33,2
29,0.7942708333333334,0.7552083333333334,0.754227058032423,0.7053195310714169,22,33,2
30,0.796875,0.7552083333333334,0.7567251461988305,0.7053195310714169,22,33,2
31,0.7942708333333334,0.7604166666666666,0.7529782504254643,0.7100840336134454,23,33,2
32,0.7942708333333334,0.7604166666666666,0.7529782504254643,0.7100840336134454,24,33,2
33,0.7942708333333334,0.7552083333333334,0.7529782504254643,0.7053195310714169,25,33,2
1,0.6822916666666666,0.6614583333333334,0.5953425698787271,0.5924631812689809,1,33,2
2,0.7083333333333334,0.6302083333333334,0.6261994159365875,0.5452210175145955,2,33,2
3,0.765625,0.7604166666666666,0.7117597998331944,0.7130604288499025,2,33,2
4,0.7760416666666666,0.7552083333333334,0.7275517275517276,0.7022077022077022,3,33,2
5,0.7630208333333334,0.7552083333333334,0.7139840392879067,0.7022077022077022,4,33,2
6,0.7578125,0.7447916666666666,0.7106723594558904,0.686138448707256,5,33,2
7,0.7734375,0.7708333333333334,0.7265561694290976,0.728255275347401,5,33,2
8,0.7734375,0.765625,0.7265561694290976,0.7234226447709594,6,33,2
9,0.7734375,0.765625,0.7265561694290976,0.7234226447709594,7,33,2
10,0.7838541666666666,0.75,0.7404708200672601,0.7035512094698919,8,33,2
11,0.7916666666666666,0.7552083333333334,0.7465597465597466,0.7053195310714169,8,33,2
12,0.7864583333333334,0.7604166666666666,0.7415966386554622,0.7100840336134454,9,33,2
13,0.7942708333333334,0.7552083333333334,0.7517004297114794,0.7022077022077022,10,33,2
14,0.7890625,0.7447916666666666,0.7440737236187107,0.686138448707256,11,33,2
15,0.7942708333333334,0.7395833333333334,0.7503928909367672,0.6814863968148639,12,33,2
16,0.7916666666666666,0.7447916666666666,0.7529593412249099,0.6895356895356894,13,33,2
17,0.796875,0.7395833333333334,0.7591353576942872,0.6848739495798319,14,33,2
18,0.8046875,0.7447916666666666,0.7654856807836687,0.692779936648924,15,33,2
19,0.8046875,0.75,0.7678299354277007,0.7005847953216374,15,33,2
20,0.7994791666666666,0.7760416666666666,0.7628013316754242,0.7331178277032488,16,33,2
21,0.7994791666666666,0.765625,0.7616387337057728,0.7207047034103766,17,33,2
22,0.8046875,0.7604166666666666,0.7678299354277007,0.7130604288499025,18,33,2
23,0.796875,0.7760416666666666,0.7602996254681648,0.7357149716700279,19,33,2
24,0.796875,0.7760416666666666,0.7602996254681648,0.7357149716700279,20,33,2
25,0.7994791666666666,0.7395833333333334,0.7639375673625803,0.6941506308143239,20,33,2
26,0.7942708333333334,0.75,0.754227058032423,0.7035512094698919,21,33,2
27,0.7942708333333334,0.7447916666666666,0.754227058032423,0.6958784548246323,22,33,2
28,0.796875,0.734375,0.7567251461988305,0.686545664073754,23,33,2
29,0.8125,0.7447916666666666,0.7765637627283013,0.7016648168701443,23,33,2
30,0.8020833333333334,0.7447916666666666,0.761747705972635,0.6958784548246323,23,33,2
31,0.8072916666666666,0.75,0.7680175031838814,0.7035512094698919,24,33,2
32,0.8046875,0.7447916666666666,0.766671257625718,0.7016648168701443,25,33,2
33,0.8072916666666666,0.7447916666666666,0.7692007797270954,0.6988379909728224,25,33,2
1,0.7421875,0.6927083333333334,0.6765339028478563,0.6086100266040148,1,33,2
2,0.7578125,0.7395833333333334,0.7029717793247998,0.6742228858422696,1,33,2
3,0.7708333333333334,0.75,0.7212157212157213,0.6974789915966386,2,33,2
4,0.7734375,0.7604166666666666,0.7293386588458328,0.7100840336134454,3,33,2
5,0.7760416666666666,0.765625,0.7331178277032488,0.7178591254939098,3,33,2
6,0.7682291666666666,0.75,0.7217096745299535,0.6974789915966386,4,33,2
7,0.7708333333333334,0.75,0.7269112655568126,0.7005847953216374,5,33,2
8,0.7734375,0.75,0.7293386588458328,0.7005847953216374,6,33,2
9,0.7708333333333334,0.75,0.7269112655568126,0.7005847953216374,7,33,2
10,0.7786458333333334,0.7552083333333334,0.7355607586424804,0.6955362866493471,8,33,2
