atrain,atest,ftrain,ftest,nin,nout
0.8072916666666666,0.7447916666666666,0.7692007797270954,0.6895356895356894,33,2
0.796875,0.7395833333333334,0.7542016806722689,0.6911991765311374,33,2
0.8020833333333334,0.734375,0.761747705972635,0.6834653305317602,33,2
0.8125,0.7395833333333334,0.7719037719037719,0.6911991765311374,33,2
0.8046875,0.75,0.766671257625718,0.7035512094698919,33,2
0.8151041666666666,0.7604166666666666,0.777993111141873,0.7100840336134454,33,2
0.7994791666666666,0.7604166666666666,0.7661333059138977,0.718618580349178,33,2
0.796875,0.7291666666666666,0.7567251461988305,0.6611918012759603,33,2
0.7942708333333334,0.7552083333333334,0.7529782504254643,0.7053195310714169,33,2
0.8072916666666666,0.7447916666666666,0.7692007797270954,0.6988379909728224,33,2
0.796875,0.71875,0.7579440762889931,0.656005308560053,33,2
0.8098958333333334,0.7291666666666666,0.768114023840446,0.6756335282651073,33,2
0.7890625,0.7552083333333334,0.7492563302619168,0.7164315117996418,33,2
0.796875,0.765625,0.7554779087613885,0.7178591254939098,33,2
0.8020833333333334,0.75,0.762962962962963,0.7005847953216374,33,2
0.7994791666666666,0.7239583333333334,0.7592319656045665,0.6742533371746855,33,2
0.7942708333333334,0.7239583333333334,0.7503928909367672,0.6641916641916642,33,2
0.7942708333333334,0.6927083333333334,0.7529782504254643,0.6338128333602715,33,2
0.8072916666666666,0.7395833333333334,0.7692007797270954,0.6881091617933723,33,2
0.796875,0.75,0.7579440762889931,0.7116756350894757,33,2
0.796875,0.7291666666666666,0.7591353576942872,0.6687458526874586,33,2
0.8072916666666666,0.7447916666666666,0.7703572005818652,0.704364767620903,33,2
0.8177083333333334,0.75,0.7794117647058824,0.706384605581751,33,2
0.8072916666666666,0.75,0.7680175031838814,0.7005847953216374,33,2
0.8046875,0.765625,0.7630312255728803,0.7148797148797149,33,2
0.8125,0.765625,0.7719037719037719,0.7260187093705407,33,2
0.8098958333333334,0.7552083333333334,0.7717393959627709,0.7053195310714169,33,2
0.8255208333333334,0.734375,0.7915596568123081,0.686545664073754,33,2
0.7916666666666666,0.7604166666666666,0.7504873294346979,0.7069674850696748,33,2
0.8072916666666666,0.734375,0.7668067226890756,0.686545664073754,33,2
0.7890625,0.7552083333333334,0.7467245352463622,0.7082915791175044,33,2
0.8151041666666666,0.75,0.7732365196995783,0.7005847953216374,33,2
0.8125,0.7916666666666666,0.7765637627283013,0.7529593412249099,33,2
0.8020833333333334,0.734375,0.766445788917699,0.6894878706199461,33,2
0.796875,0.7291666666666666,0.7579440762889931,0.6756335282651073,33,2
0.8151041666666666,0.7395833333333334,0.7812843447916249,0.6911991765311374,33,2
0.7942708333333334,0.7552083333333334,0.7490549025122635,0.7053195310714169,33,2
0.8151041666666666,0.7447916666666666,0.777993111141873,0.7016648168701443,33,2
0.796875,0.7135416666666666,0.7567251461988305,0.6551611533814453,33,2
0.7890625,0.7135416666666666,0.7440737236187107,0.6586390819460158,33,2
0.8046875,0.7395833333333334,0.7654856807836687,0.6941506308143239,33,2
0.7916666666666666,0.7395833333333334,0.7492081115501421,0.6881091617933723,33,2
0.796875,0.7447916666666666,0.7579440762889931,0.6958784548246323,33,2
0.8020833333333334,0.7291666666666666,0.7605042016806722,0.6756335282651073,33,2
0.796875,0.7552083333333334,0.7554779087613885,0.7082915791175044,33,2
0.7890625,0.7447916666666666,0.7516745838489481,0.6988379909728224,33,2
0.8177083333333334,0.7291666666666666,0.7816764132553606,0.6819166560468969,33,2
0.78125,0.734375,0.7380116959064327,0.686545664073754,33,2
0.7890625,0.7447916666666666,0.7440737236187107,0.6825803839535747,33,2
0.8229166666666666,0.7239583333333334,0.7879142300194932,0.6742533371746855,33,2
