run,dataset,nin,nout,time,ftrain,ftest,atrain,atest,nsel,nenhanced,sel,coefs
1,cancer,34,2,1.6699509,0.9655915131690663,0.975117975117975,0.9685714285714285,0.9770114942528736,"[10]","[6]","[11001000011000010100100000000100100]","[[1.2280882037393595,0.4822410677193039,0.0,0.0,-0.10879122641834756,0.0,0.0,0.0,0.0,0.35075224096559476,-0.6731036927228065,0.0,0.0,0.0,0.0,0.23969825420225235,0.0,-0.3924067515409242,0.0,0.0,-0.21160118233875255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6939307369918308,0.0,0.0,-0.1928096068176596,0.0,0.0]]"
2,cancer,34,2,1.3284008,0.9626666666666667,0.9690027434353511,0.9657142857142857,0.9712643678160919,"[5]","[3]","[10001000000000000001010000000010000]","[[0.8535520658147652,0.0,0.0,0.0,0.10883170229455408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15003436446081264,0.0,-0.3629159512594705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9104668414507325,0.0,0.0,0.0,0.0]]"
3,cancer,34,2,1.5619872,0.9686615808889367,0.9559891598915989,0.9714285714285714,0.9597701149425287,"[9]","[5]","[11001000100100001000000010001100000]","[[0.8093155914010192,0.48265821669951686,0.0,0.0,0.10201559271253552,0.0,0.0,0.0,0.4436196590490093,0.0,0.0,-0.38473962676273155,0.0,0.0,0.0,0.0,0.19400429002461186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.33306140935604217,0.0,0.0,0.0,0.15749689209224788,-0.5159948717888414,0.0,0.0,0.0,0.0,0.0]]"
4,cancer,34,2,2.621528,0.9686615808889367,0.975284090909091,0.9714285714285714,0.9770114942528736,"[10]","[5]","[10101010100000010010010001000100000]","[[0.9328518804268097,0.0,0.3058717989185074,0.0,0.19997958555831574,0.0,0.09240729294897007,0.0,-0.16402528823087023,0.0,0.0,0.0,0.0,0.0,0.0,0.32670213884117977,0.0,0.0,-0.5187961318605759,0.0,0.0,-0.4105198465528086,0.0,0.0,0.0,-0.2656829221517807,0.0,0.0,0.0,-0.3912654225580084,0.0,0.0,0.0,0.0,0.0]]"
5,cancer,34,2,1.6491442,0.9687767627747645,0.9938409259849208,0.9714285714285714,0.9942528735632183,"[8]","[4]","[10001010010010000000100000000001010]","[[0.004224775779772171,0.0,0.0,0.0,0.27695079612821044,0.0,0.42011944311165095,0.0,0.0,0.5240813829457011,0.0,0.0,0.3106510933534193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.37272486902812046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7808779927825733,0.0,0.16578277205728098,0.0]]"
6,cancer,34,2,1.725723,0.9685432844406097,0.975117975117975,0.9714285714285714,0.9770114942528736,"[9]","[5]","[11000101000100000010100000010100000]","[[-0.07905730450139832,0.7274479060419764,0.0,0.0,0.0,0.07153691274283414,0.0,0.1356408945765332,0.0,0.0,0.0,0.21215992407927017,0.0,0.0,0.0,0.0,0.0,0.0,0.8025352674992934,0.0,-0.9062719375523672,0.0,0.0,0.0,0.0,0.0,0.0,-0.0996587679296602,0.0,0.3655214665683515,0.0,0.0,0.0,0.0,0.0]]"
7,cancer,34,2,1.6813177,0.9655915131690663,0.975117975117975,0.9685714285714285,0.9770114942528736,"[8]","[5]","[11000001000000101000000000001010100]","[[1.1518745202785579,0.23004870115221787,0.0,0.0,0.0,0.0,0.0,-0.2679312486716634,0.0,0.0,0.0,0.0,0.0,0.0,-0.7471341508110415,0.0,0.30707451562884297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3696257102803591,0.0,-0.27429802573832257,0.0,-0.05682213023193482,0.0,0.0]]"
8,cancer,34,2,1.5480683,0.9719498837923757,0.975117975117975,0.9742857142857143,0.9770114942528736,"[12]","[7]","[10101110000001010100010000001010010]","[[0.3331802947292157,0.0,0.3888836125440151,0.0,0.03771342995126563,-0.05709851859150226,0.39360435011142697,0.0,0.0,0.0,0.0,0.0,0.0,-0.5718417003312304,0.0,0.03418021049626378,0.0,0.08086272538342455,0.0,0.0,0.0,-0.6680271266200289,0.0,0.0,0.0,0.0,0.0,0.0,0.4782344934195624,0.0,-0.28987696933352197,0.0,0.0,0.2291600644704593,0.0]]"
9,cancer,34,2,1.4292345,0.9686615808889367,0.975117975117975,0.9714285714285714,0.9770114942528736,"[10]","[6]","[11000101000000000001010001011000001]","[[0.7648660952540893,0.31740128547356034,0.0,0.0,0.0,0.029469761346855573,0.0,0.3942539152280311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0145141069568917,0.0,0.270034888807628,0.0,0.0,0.0,0.3854289467988165,0.0,-0.730364710718014,-0.5152280212895327,0.0,0.0,0.0,0.0,0.0,0.21007868561061754]]"
10,cancer,34,2,1.1996923,0.9688888888888889,0.9938409259849208,0.9714285714285714,0.9942528735632183,"[6]","[3]","[10001010000010000000000000100010000]","[[0.31216474925471227,0.0,0.0,0.0,0.21351175156977714,0.0,0.42006503022413694,0.0,0.0,0.0,0.0,0.0,-2.3964875758393185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11110870266972743,0.0,0.0,0.0,0.21684773138388685,0.0,0.0,0.0,0.0]]"
11,cancer,34,2,1.2265247,0.9655915131690663,0.9687892376681615,0.9685714285714285,0.9712643678160919,"[8]","[3]","[11001101000000001000000000100000100]","[[0.9103607031476697,0.36527270731476963,0.0,0.0,-0.2216336930768147,-0.12054525655593419,0.0,0.5436686584784373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16093922235899338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.492907925784318,0.0,0.0,0.0,0.0,0.0,-0.8469491877667286,0.0,0.0]]"
12,cancer,34,2,1.2459494,0.9655915131690663,0.9687892376681615,0.9685714285714285,0.9712643678160919,"[11]","[4]","[10111110100000100001110000000000000]","[[1.4684709174479988,0.0,-0.114885458933151,0.19016404253237032,0.20852812745390642,-0.19339762382374223,0.14687129784092312,0.0,-0.19881349737000564,0.0,0.0,0.0,0.0,0.0,-0.28756678586115264,0.0,0.0,0.0,0.0,-0.3807498208828256,-0.3224645237284324,-0.6120296413364651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0]]"
